replicate,camera,trial,treatment,focal,focal_col,choice_col,choice_1 (L),choice_2 (R),final_decision_side,final_decision_scent,notes
1,1,1,a,M,Red,Black,Control,Mated F,Right,Mated F,
1,1,2,b,F,Red,Black,Control,Mated F,Right,Mated F,
1,1,3,c,M,Red,Black,Mated M,Mated F,Right,Mated F,
1,1,4,d,F,Red,Black,Mated M,Mated F,Right,Mated F,
1,1,5,e,M,Red,Black,Virgin F,Mated F,Left,Virgin F,
1,1,6,a,M,Red,Black,Mated F,Control,Left,Mated F,
1,2,7,b,F,Red,Black,Mated F,Control,Left,Mated F,
1,2,8,c,M,Red,Black,Mated F,Mated M,Right,Mated M,
1,2,9,d,F,Red,Black,Mated F,Mated M,Left,Mated F,
1,2,10,e,M,Red,Black,Mated F,Virgin F,Right,Virgin F,
1,2,11,a,M,Red,Black,Control,Mated F,Right,Mated F,
1,2,12,b,F,Red,Black,Control,Mated F,N/A,N/A,SKIPPED- missing mated female stimulus
1,3,13,c,M,Red,Black,Mated M,Mated F,Right,Mated F,
1,3,14,d,F,Red,Black,Mated M,Mated F,Right,Mated F,
1,3,15,e,M,Red,Black,Virgin F,Mated F,Left,Virgin F,
1,3,16,a,M,Black,Red,Mated F,Control,Left,Mated F,
1,3,17,b,F,Black,Red,Mated F,Control,Left,Mated F,
1,3,18,c,M,Black,Red,Mated F,Mated M,Right,Mated M,
1,4,19,d,F,Black,Red,Mated F,Mated M,Left,Mated F,
1,4,20,e,M,Black,Red,Mated F,Virgin F,Left,Mated F,
1,4,21,a,M,Black,Red,Control,Mated F,Right,Mated F,
1,4,22,b,F,Black,Red,Control,Mated F,Right,Mated F,
1,4,23,c,M,Black,Red,Mated M,Mated F,Left,Mated M,
1,4,24,d,F,Black,Red,Mated M,Mated F,Right,Mated F,
1,5,25,e,M,Black,Red,Virgin F,Mated F,Right,Mated F,
1,5,26,a,M,Black,Red,Mated F,Control,N/A,N/A,SKIPPED - missing mated female stimulus
1,5,27,b,F,Black,Red,Mated F,Control,Left,Mated F,
1,5,28,c,M,Black,Red,Mated F,Mated M,Right,Mated M,
1,5,29,d,F,Black,Red,Mated F,Mated M,Left,Mated F,
1,5,30,e,M,Black,Red,Mated F,Virgin F,Right,Virgin F,
2,N/A,1,e,M,Black,Red,Mated F,Virgin F,right,Virgin F,
2,N/A,2,a,M,Black,Red,Mated F,Control,left,Mated F,
2,N/A,3,d,F,Black,Red,Mated F,Mated M,left,Mated F,
2,N/A,4,b,F,Black,Red,Mated F,Control,left,Mated F,
2,N/A,5,c,M,Black,Red,Mated F,Mated M,left,Mated F,
2,N/A,6,c,M,Black,Red,Mated M,Mated F,right,Mated F,
2,N/A,7,d,F,Black,Red,Mated M,Mated F,right,Mated F,
2,N/A,8,e,M,Black,Red,Virgin F,Mated F,right,Mated F,
2,N/A,9,a,M,Black,Red,Control,Mated F,right,Mated F,
2,N/A,10,b,F,Black,Red,Control,Mated F,right,Mated F,
2,N/A,11,c,M,Black,Red,Mated F,Mated M,left,Mated F,
2,N/A,12,a,M,Black,Red,Mated F,Control,left,Mated F,
2,N/A,13,d,F,Black,Red,Mated F,Mated M,left,Mated F,
2,N/A,14,b,F,Black,Red,Mated F,Control,left,Mated F,
2,N/A,15,e,M,Black,Red,Mated F,Virgin F,right,Virgin F,
2,N/A,16,b,F,Red,Black,Control,Mated F,right,Mated F,
2,N/A,17,d,F,Red,Black,Mated M,Mated F,right,Mated F,
2,N/A,18,a,M,Red,Black,Control,Mated F,right,Mated F,
2,N/A,19,e,M,Red,Black,Virgin F,Mated F,left,Virgin F,
2,N/A,20,c,M,Red,Black,Mated M,Mated F,right,Mated F,
2,N/A,21,d,F,Red,Black,Mated F,Mated M,left,Mated F,
2,N/A,22,b,F,Red,Black,Mated F,Control,left,Mated F,
2,N/A,23,a,M,Red,Black,Mated F,Control,left,Mated F,
2,N/A,24,e,M,Red,Black,Mated F,Virgin F,left,Mated F,
2,N/A,25,c,M,Red,Black,Mated F,Mated M,left,Mated F,
2,N/A,26,c,M,Red,Black,Mated M,Mated F,N/A,N/A,SKIP - missing mated male tent
2,N/A,27,d,F,Red,Black,Mated M,Mated F,right,Mated F,
2,N/A,28,a,M,Red,Black,Control,Mated F,right,Mated F,
2,N/A,29,b,F,Red,Black,Control,Mated F,right,Mated F,
2,N/A,30,e,M,Red,Black,Virgin F,Mated F,left,Virgin F,
3,N/A,1,d,F,Red,Black,Mated M,Mated F,left,Mated M,
3,N/A,2,a,M,Red,Black,Control,Mated F,right,Mated F,
3,N/A,3,b,F,Red,Black,Control,Mated F,right,Mated F,
3,N/A,4,c,M,Red,Black,Mated M,Mated F,right,Mated F,
3,N/A,5,e,M,Red,Black,Virgin F,Mated F,left,Virgin F,
3,N/A,6,e,M,Red,Black,Mated F,Virgin F,right,Virgin F,
3,N/A,7,c,M,Red,Black,Mated F,Mated M,left,Mated F,
3,N/A,8,a,M,Red,Black,Mated F,Control,left,Mated F,
3,N/A,9,b,F,Red,Black,Mated F,Control,left,Mated F,
3,N/A,10,d,F,Red,Black,Mated F,Mated M,left,Mated F,
3,N/A,11,a,M,Red,Black,Control,Mated F,right,Mated F,
3,N/A,12,c,M,Red,Black,Mated M,Mated F,right,Mated F,
3,N/A,13,e,M,Red,Black,Virgin F,Mated F,left,Virgin F,
3,N/A,14,d,F,Red,Black,Mated M,Mated F,right,Mated F,
3,N/A,15,b,F,Red,Black,Control,Mated F,right,Mated F,
3,N/A,16,d,F,Black,Red,Mated F,Mated M,right,Mated M,
3,N/A,17,e,M,Black,Red,Mated F,Virgin F,right,Virgin F,
3,N/A,18,c,M,Black,Red,Mated F,Mated M,left,Mated F,
3,N/A,19,a,M,Black,Red,Mated F,Control,left,Mated F,
3,N/A,20,b,F,Black,Red,Mated F,Control,left,Mated F,
3,N/A,21,e,M,Black,Red,Virgin F,Mated F,right,Mated F,
3,N/A,22,c,M,Black,Red,Mated M,Mated F,right,Mated F,
3,N/A,23,a,M,Black,Red,Control,Mated F,right,Mated F,
3,N/A,24,b,F,Black,Red,Control,Mated F,right,Mated F,
3,N/A,25,d,F,Black,Red,Mated M,Mated F,right,Mated F,
3,N/A,26,b,F,Black,Red,Mated F,Control,left,Mated F,
3,N/A,27,d,F,Black,Red,Mated F,Mated M,left,Mated F,
3,N/A,28,a,M,Black,Red,Mated F,Control,right,Control,
3,N/A,29,c,M,Black,Red,Mated F,Mated M,right,Mated M,
3,N/A,30,e,M,Black,Red,Mated F,Virgin F,right,Virgin F,
4,N/A,1,b,F,Red,Black,Mated F,Control,left,Mated F,
4,N/A,2,c,M,Red,Black,Mated F,Mated M,left,Mated F,
4,N/A,3,d,F,Red,Black,Mated F,Mated M,right,Mated M,
4,N/A,4,e,M,Red,Black,Mated F,Virgin F,left,Mated F,
4,N/A,5,a,M,Red,Black,Mated F,Control,left,Mated F,
4,N/A,6,d,F,Red,Black,Mated M,Mated F,left,Mated M,
4,N/A,7,a,M,Red,Black,Control,Mated F,right,Mated F,
4,N/A,8,e,M,Red,Black,Virgin F,Mated F,left,Virgin F,
4,N/A,9,c,M,Red,Black,Mated M,Mated F,left,Mated M,
4,N/A,10,b,F,Red,Black,Control,Mated F,right,Mated F,
4,N/A,11,b,F,Red,Black,Mated F,Control,left,Mated F,
4,N/A,12,c,M,Red,Black,Mated F,Mated M,left,Mated F,
4,N/A,13,a,M,Red,Black,Mated F,Control,left,Mated F,
4,N/A,14,e,M,Red,Black,Mated F,Virgin F,right,Virgin F,
4,N/A,15,d,F,Red,Black,Mated F,Mated M,left,Mated F,
4,N/A,16,a,M,Black,Red,Control,Mated F,right,Mated F,
4,N/A,17,d,F,Black,Red,Mated M,Mated F,right,Mated F,
4,N/A,18,b,F,Black,Red,Control,Mated F,right,Mated F,
4,N/A,19,c,M,Black,Red,Mated M,Mated F,right,Mated F,
4,N/A,20,e,M,Black,Red,Virgin F,Mated F,right,Mated F,
4,N/A,21,c,M,Black,Red,Mated F,Mated M,right,Mated M,
4,N/A,22,a,M,Black,Red,Mated F,Control,left,Mated F,
4,N/A,23,b,F,Black,Red,Mated F,Control,left,Mated F,
4,N/A,24,e,M,Black,Red,Mated F,Virgin F,right,Virgin F,
4,N/A,25,d,F,Black,Red,Mated F,Mated M,left,Mated F,
4,N/A,26,a,M,Black,Red,Control,Mated F,right,Mated F,
4,N/A,27,d,F,Black,Red,Mated M,Mated F,right,Mated F,
4,N/A,28,c,M,Black,Red,Mated M,Mated F,left,Mated M,
4,N/A,29,e,M,Black,Red,Virgin F,Mated F,N/A,N/A,Missing red virgin female stimulus
4,N/A,30,b,F,Black,Red,Control,Mated F,right,Mated F,
5,N/A,1,d,F,Red,Black,Mated M,Mated F,left,Mated M,"two dead stim, both tents"
5,N/A,2,e,M,Red,Black,Virgin F,Mated F,left,Virgin F,
5,N/A,3,a,M,Red,Black,Control,Mated F,left,Control,
5,N/A,4,c,M,Red,Black,Mated M,Mated F,right,Mated F,
5,N/A,5,b,F,Red,Black,Control,Mated F,right,Mated F,
5,N/A,6,c,M,Red,Black,Mated F,Mated M,left,Mated F,
5,N/A,7,d,F,Red,Black,Mated F,Mated M,N/A,N/A,Ran out of male tents
5,N/A,8,a,M,Red,Black,Mated F,Control,left,Mated F,
5,N/A,9,b,F,Red,Black,Mated F,Control,left,Mated F,
5,N/A,10,e,M,Red,Black,Mated F,Virgin F,right,Virgin F,
5,N/A,11,a,M,Red,Black,Control,Mated F,right,Mated F,
5,N/A,12,b,F,Red,Black,Control,Mated F,right,Mated F,"one dead stim, female tent"
5,N/A,13,c,M,Red,Black,Mated M,Mated F,right,Mated F,one dead stim both tents
5,N/A,14,e,M,Red,Black,Virgin F,Mated F,left,Virgin F,
5,N/A,15,d,F,Red,Black,Mated M,Mated F,N/A,N/A,Ran out of male tents
5,N/A,16,c,M,Black,Red,Mated F,Mated M,right,Mated M,
5,N/A,17,e,M,Black,Red,Mated F,Virgin F,right,Virgin F,
5,N/A,18,a,M,Black,Red,Mated F,Control,left,Mated F,
5,N/A,19,b,F,Black,Red,Mated F,Control,left,Mated F,
5,N/A,20,d,F,Black,Red,Mated F,Mated M,left,Mated F,"one dead stim, both tents"
5,N/A,21,d,F,Black,Red,Mated M,Mated F,right,Mated F,"one dead stim, both tents"
5,N/A,22,c,M,Black,Red,Mated M,Mated F,right,Mated F,
5,N/A,23,a,M,Black,Red,Control,Mated F,right,Mated F,"one dead stim, female tent"
5,N/A,24,e,M,Black,Red,Virgin F,Mated F,right,Mated F,
5,N/A,25,b,F,Black,Red,Control,Mated F,right,Mated F,"one dead, female tent"
5,N/A,26,e,M,Black,Red,Mated F,Virgin F,right,Virgin F,
5,N/A,27,c,M,Black,Red,Mated F,Mated M,right,Mated M,"one dead stim, both tents"
5,N/A,28,d,F,Black,Red,Mated F,Mated M,left,Mated F,"two dead stim, both tents"
5,N/A,29,b,F,Black,Red,Mated F,Control,left,Mated F,"two dead stim, female tent"
5,N/A,30,a,M,Black,Red,Mated F,Control,left,Mated F,female stim didn't feed
