Group,Network,Block,Treatment,Day,Time,Location,Members,Notes,
,1,1,Twelve,1,900,1,X U M J,,
,1,1,Twelve,1,900,2,E S,,
,1,1,Twelve,1,900,4,B K W,,
,1,1,Twelve,1,900,5,D N F G,,
,1,1,Twelve,1,900,7,C P,,
,1,1,Twelve,1,900,8,L R,,
,1,1,Twelve,1,900,10,H I O T V,,
,1,1,Twelve,1,1000,1,J U M X,,
,1,1,Twelve,1,1000,2,C E,,
,1,1,Twelve,1,1000,4,B W,,
,1,1,Twelve,1,1000,5,N D S G,,
,1,1,Twelve,1,1000,10,H I T,,
,1,1,Twelve,1,1000,11,L A,,
,1,1,Twelve,1,1100,1,J U M,,
,1,1,Twelve,1,1100,2,C E V,,
,1,1,Twelve,1,1100,5,N D S G,,
,1,1,Twelve,1,1100,7,X O K,,
,1,1,Twelve,1,1100,8,R W,,
,1,1,Twelve,1,1100,10,H I T,,
,1,1,Twelve,1,1100,11,L A,,
,1,1,Twelve,1,1200,1,M U F J,,
,1,1,Twelve,1,1200,2,C E V,,
,1,1,Twelve,1,1200,5,G S N D,,
,1,1,Twelve,1,1200,8,X R,,
,1,1,Twelve,1,1200,10,P H W I,,
,1,1,Twelve,1,1200,11,A L,,
,1,1,Twelve,1,1300,1,J K U F,,
,1,1,Twelve,1,1300,2,B E,,
,1,1,Twelve,1,1300,7,O S,,
,1,1,Twelve,1,1300,8,V R,,
,1,1,Twelve,1,1300,10,I W,,
,1,1,Twelve,1,1400,1,J K,,
,1,1,Twelve,1,1400,3,C V,,
,1,1,Twelve,1,1500,2,P J E,,
,1,1,Twelve,1,1500,8,T C,,
,1,1,Twelve,1,1500,11,O V,,
,1,1,Twelve,1,1500,7,U F L,,
,1,1,Twelve,1,1600,2,E W,,
,1,1,Twelve,1,1600,8,B A,,
,1,1,Twelve,1,1600,9,C H,,
,1,1,Twelve,1,1600,10,K J V X I F,,
,1,1,Twelve,1,1600,12,P L,,
,1,1,Twelve,1,1600,2,E G,,
,1,1,Twelve,1,1600,8,A S,,
,1,1,Twelve,1,1700,10,I C P,,
,1,1,Twelve,1,1700,12,R T L,,
,1,1,Twelve,2,900,1,U D,,
,1,1,Twelve,2,900,2,G E F,,
,1,1,Twelve,2,900,7,J O,,
,1,1,Twelve,2,900,8,A K B S,,
,1,1,Twelve,2,900,9,X H,,
,1,1,Twelve,2,900,10,P I C V M,,
,1,1,Twelve,2,900,12,B F W T L,,
,1,1,Twelve,2,1000,1,U D,,
,1,1,Twelve,2,1000,2,G F E,,
,1,1,Twelve,2,1000,7,J O,,
,1,1,Twelve,2,1000,8,A K B S,,
,1,1,Twelve,2,1000,9,X H,,
,1,1,Twelve,2,1000,10,I P C M V,,
,1,1,Twelve,2,1000,12,B F W T L,,
,1,1,Twelve,2,1100,1,U D,,
,1,1,Twelve,2,1100,7,J O,,
,1,1,Twelve,2,1100,8,A K B S,,
,1,1,Twelve,2,1100,9,X H,,
,1,1,Twelve,2,1100,10,M V I P C,,
,1,1,Twelve,2,1100,12,W T N L,,
,1,1,Twelve,2,1200,1,U D,,
,1,1,Twelve,2,1200,2,F E,,
,1,1,Twelve,2,1200,7,J O,,
,1,1,Twelve,2,1200,8,A K B,,
,1,1,Twelve,2,1200,9,H X,,
,1,1,Twelve,2,1200,10,I P C V,,
,1,1,Twelve,2,1200,12,W T,,
,1,1,Twelve,2,1300,1,D U,,
,1,1,Twelve,2,1300,7,O J E,,
,1,1,Twelve,2,1300,8,B A,,
,1,1,Twelve,2,1300,10,C I P V,,
,1,1,Twelve,2,1300,12,W T L,,
,1,1,Twelve,2,1400,1,D U,,
,1,1,Twelve,2,1400,7,J O,,
,1,1,Twelve,2,1400,8,A B,,
,1,1,Twelve,2,1400,10,I P V C,,
,1,1,Twelve,2,1400,12,T K W L,,
,1,1,Twelve,2,1500,1,D U,,
,1,1,Twelve,2,1500,7,J E,,
,1,1,Twelve,2,1500,8,A B,,
,1,1,Twelve,2,1500,10,C I P V,,
,1,1,Twelve,2,1500,12,T O K W L,,
,1,1,Twelve,2,1600,1,D U,,
,1,1,Twelve,2,1600,8,A B,,
,1,1,Twelve,2,1600,10,C E I K P V,,
,1,1,Twelve,2,1600,12,T O W L,,
,1,1,Twelve,2,1700,1,D U,,
,1,1,Twelve,2,1700,8,A B,,
,1,1,Twelve,2,1700,10,C E K P V I,,
,1,1,Twelve,2,1700,12,R T O L W,,
,1,1,Twelve,3,900,1,D U,,
,1,1,Twelve,3,900,2,F G,,
,1,1,Twelve,3,900,4,X S,,
,1,1,Twelve,3,900,7,M J,,
,1,1,Twelve,3,900,8,A B L,,
,1,1,Twelve,3,900,10,C P V K E I,,
,1,1,Twelve,3,900,12,N W O R T,,
,1,1,Twelve,3,1000,1,D U ,,
,1,1,Twelve,3,1000,4,X S,,
,1,1,Twelve,3,1000,7,M J,,
,1,1,Twelve,3,1000,8,A B L,,
,1,1,Twelve,3,1000,10,C K P V I E,,
,1,1,Twelve,3,1000,12,N W O R T,,
,1,1,Twelve,3,1100,1,D U,,
,1,1,Twelve,3,1100,2,F G,,
,1,1,Twelve,3,1100,7,J M,,
,1,1,Twelve,3,1100,8,A B L,,
,1,1,Twelve,3,1100,10,C K P V E I,,
,1,1,Twelve,3,1100,12,N W T,,
,1,1,Twelve,3,1200,7,J M,,
,1,1,Twelve,3,1200,8,A L B,,
,1,1,Twelve,3,1200,10,P V I C S E,,
,1,1,Twelve,3,1200,12,T N W,,
,1,1,Twelve,3,1300,7,J M,,
,1,1,Twelve,3,1300,8,A L B,,
,1,1,Twelve,3,1300,10,C P V I,,
,1,1,Twelve,3,1300,12,N W T,,
,1,1,Twelve,3,1400,8,K I A,,
,1,1,Twelve,3,1400,9,M U,,
,1,1,Twelve,3,1400,10,V P,,
,1,1,Twelve,3,1500,3,B U,,
,1,1,Twelve,3,1500,7,R S L O,,
,1,1,Twelve,3,1500,8,A E G,,
,1,1,Twelve,3,1500,10,T V P,,
,1,1,Twelve,3,1600,2,K F B C,,
,1,1,Twelve,3,1600,8,A H,,
,1,1,Twelve,3,1600,9,E L,,
,1,1,Twelve,3,1600,10,R T V W X,,
,1,1,Twelve,3,1600,11,D G,,
,1,1,Twelve,3,1700,2,C E F,,
,1,1,Twelve,3,1700,8,A H,,
,1,1,Twelve,3,1700,10,D M R W G T V X,,
,1,1,Twelve,4,900,2,C E M F,,STOPPED HERE
,1,1,Twelve,4,900,8,A H,,
,1,1,Twelve,4,900,10,B D G I P T W X V,,
,1,1,Twelve,4,900,11,N U J,,
,1,1,Twelve,4,900,12,K S,,
,1,1,Twelve,4,1000,2,C E M F,,
,1,1,Twelve,4,1000,8,A H,,
,1,1,Twelve,4,1000,10,B G R T V X P W,,
,1,1,Twelve,4,1000,11,N U D J,,
,1,1,Twelve,4,1000,12,K S,,
,1,1,Twelve,4,1100,2,C E M F,,
,1,1,Twelve,4,1100,8,A H,,
,1,1,Twelve,4,1100,10,B G I V P T X W R,,
,1,1,Twelve,4,1100,11,D N U J,,
,1,1,Twelve,4,1100,12,K S,,
,1,1,Twelve,4,1200,2,C E M F,,
,1,1,Twelve,4,1200,8,A H,,
,1,1,Twelve,4,1200,10,B T V X W R G I,,
,1,1,Twelve,4,1200,11,D J U,,
,1,1,Twelve,4,1200,12,K S N,,
,1,1,Twelve,4,1300,2,C E M F,,
,1,1,Twelve,4,1300,5,O P,,
,1,1,Twelve,4,1300,8,A H,,
,1,1,Twelve,4,1300,10,B G I R T W X,,
,1,1,Twelve,4,1300,11,D J V U,,
,1,1,Twelve,4,1300,12,K S,,
,1,1,Twelve,4,1400,2,C E F M,,
,1,1,Twelve,4,1400,8,A H,,
,1,1,Twelve,4,1400,10,B G I R T W X,,
,1,1,Twelve,4,1400,11,U J,,
,1,1,Twelve,4,1400,12,K S,,
,1,1,Twelve,4,1500,2,C E F M,,
,1,1,Twelve,4,1500,8,A H,,
,1,1,Twelve,4,1500,10,B R V W I T X G,,
,1,1,Twelve,4,1500,11,U J,,
,1,1,Twelve,4,1500,12,K S,,
,1,1,Twelve,4,1600,2,E P C F M,,
,1,1,Twelve,4,1600,8,A H,,
,1,1,Twelve,4,1600,10,B G I R V W X D,,
,1,1,Twelve,4,1600,11,J U,,
,1,1,Twelve,4,1600,12,K S,,
,1,1,Twelve,4,1700,2,F M C,,
,1,1,Twelve,4,1700,8,E H A,,
,1,1,Twelve,4,1700,10,R T V W B G I X D,,
,1,1,Twelve,4,1700,11,J U,,
,1,1,Twelve,4,1700,12,K S,,
,1,1,Twelve,5,900,2,C F,,
,1,1,Twelve,5,900,8,E H A,,
,1,1,Twelve,5,900,10,B D G I M R T V W X,,
,1,1,Twelve,5,900,11,J U N,,
,1,1,Twelve,5,900,12,S K,,
,1,1,Twelve,5,1000,2,C F,,
,1,1,Twelve,5,1000,8,E H A,,
,1,1,Twelve,5,1000,10,B D M R S V X W T I,,
,1,1,Twelve,5,1000,11,J U N,,
,1,1,Twelve,5,1000,12,K S,,
,1,1,Twelve,5,1100,2,C F,,
,1,1,Twelve,5,1100,8,E H A,,
,1,1,Twelve,5,1100,10,B I M R W X D G,,
,1,1,Twelve,5,1100,11,J U N,,
,1,1,Twelve,5,1100,12,K S T,,
,1,1,Twelve,5,1200,8,A C H E,,
,1,1,Twelve,5,1200,10,B R V W G I D,,
,1,1,Twelve,5,1200,11,J U,,
,1,1,Twelve,5,1200,12,K S T,,
,1,1,Twelve,5,1300,7,A L,,
,1,1,Twelve,5,1300,10,B G R W D,,
,1,1,Twelve,5,1300,11,J U,,
,1,1,Twelve,5,1300,12,K S T,,
,1,1,Twelve,5,1400,1,E H,,
,1,1,Twelve,5,1400,2,W D,,
,1,1,Twelve,5,1400,7,A L F,,
,1,1,Twelve,5,1400,10,P R G,,
,1,1,Twelve,5,1400,11,B U,,
,1,1,Twelve,5,1400,12,K S,,
,1,1,Twelve,5,1500,1,E H,,
,1,1,Twelve,5,1500,5,W I,,
,1,1,Twelve,5,1500,7,L T,,
,1,1,Twelve,5,1500,10,N R G J,,
,1,1,Twelve,5,1500,11,B P U V,,
,1,1,Twelve,5,1500,12,M K A S,,
,1,1,Twelve,5,1600,1,E H,,
,1,1,Twelve,5,1600,3,D X,,
,1,1,Twelve,5,1600,7,A L V,,
,1,1,Twelve,5,1600,8,C P,,
,1,1,Twelve,5,1600,10,G N R T F J,,
,1,1,Twelve,5,1600,11,B O U,,
,1,1,Twelve,5,1600,12,S K M,,
,1,1,Twelve,5,1700,2,I T,,
,1,1,Twelve,5,1700,7,L A V,,
,1,1,Twelve,5,1700,10,G H J R W N F,,
,1,1,Twelve,5,1700,11,B O U,,
,1,1,Twelve,5,1700,12,S K M,,
,1,1,Twelve,6,900,7,A L V P,,
,1,1,Twelve,6,900,10,B G D R T W N F,,
,1,1,Twelve,6,900,11,U J O,,
,1,1,Twelve,6,900,12,S M K I,,
,1,1,Twelve,6,1000,1,H E,,
,1,1,Twelve,6,1000,7,A L P,,
,1,1,Twelve,6,1000,10,B G N R W D T F,,
,1,1,Twelve,6,1000,11,U O J,,
,1,1,Twelve,6,1000,12,M K I S,,
,1,1,Twelve,6,1100,1,E H,,
,1,1,Twelve,6,1100,7,A L P,,
,1,1,Twelve,6,1100,10,G N R W B D T F,,
,1,1,Twelve,6,1100,11,J O U,,
,1,1,Twelve,6,1100,12,K I M S,,
,1,1,Twelve,6,1200,1,E H,,
,1,1,Twelve,6,1200,7,P L A,,
,1,1,Twelve,6,1200,10,B D G N R T W F,,
,1,1,Twelve,6,1200,11,J U O,,
,1,1,Twelve,6,1200,12,I S M K,,
,1,1,Twelve,6,1300,7,P L A,,
,1,1,Twelve,6,1300,10,N R T W D F G,,
,1,1,Twelve,6,1300,11,U B O J,,
,1,1,Twelve,6,1300,12,I M K,,
,1,1,Twelve,6,1400,1,E H ,,
,1,1,Twelve,6,1400,7,P L A,,
,1,1,Twelve,6,1400,10,D G N R T W F,,
,1,1,Twelve,6,1400,11,U J B O,,
,1,1,Twelve,6,1400,12,I K S,,
,1,1,Twelve,6,1500,1,H E,,
,1,1,Twelve,6,1500,7,A L P,,
,1,1,Twelve,6,1500,8,V C,,
,1,1,Twelve,6,1500,10,D G N R T W X B F,,
,1,1,Twelve,6,1500,11,U J O S,,
,1,1,Twelve,6,1500,12,K I,,
,1,1,Twelve,6,1600,1,E H,,
,1,1,Twelve,6,1600,7,A L P V,,
,1,1,Twelve,6,1600,10,D G N R T W X S B F,,
,1,1,Twelve,6,1600,11,O U J,,
,1,1,Twelve,6,1600,12,I K,,
,1,1,Twelve,6,1700,1,E H,,
,1,1,Twelve,6,1700,7,A L P,,
,1,1,Twelve,6,1700,10,B D G N R S T W S F,,
,1,1,Twelve,6,1700,11,O J U,,
,1,1,Twelve,6,1700,12,I K,,
,3,2,Twelve,1,900,1,O Q R G,,
,3,2,Twelve,1,900,2,K P,,
,3,2,Twelve,1,900,3,X S,,
,3,2,Twelve,1,900,7,E H W,,
,3,2,Twelve,1,900,8,M N T D,,
,3,2,Twelve,1,900,9,L C,,
,3,2,Twelve,1,900,10,U B ,,
,3,2,Twelve,1,900,11,J I F,,
,3,2,Twelve,1,1000,1,O G Q R W,,
,3,2,Twelve,1,1000,2,P K,,
,3,2,Twelve,1,1000,3,S X,,
,3,2,Twelve,1,1000,7,E H,,
,3,2,Twelve,1,1000,8,N T M,,
,3,2,Twelve,1,1000,9,L C D,,
,3,2,Twelve,1,1000,11,F I G,,
,3,2,Twelve,1,1100,1,O Q R G W,,
,3,2,Twelve,1,1100,3,X S,,
,3,2,Twelve,1,1100,7,C H,,
,3,2,Twelve,1,1100,8,J N,,
,3,2,Twelve,1,1100,9,D T,,
,3,2,Twelve,1,1200,1,O Q R X G,,
,3,2,Twelve,1,1200,7,C W,,
,3,2,Twelve,1,1200,8,E J V N,,
,3,2,Twelve,1,1300,1,Q R G O,,
,3,2,Twelve,1,1300,8,J X,,
,3,2,Twelve,1,1300,12,M P U,,
,3,2,Twelve,1,1400,9,T S B,,
,3,2,Twelve,1,1400,12,C L,,
,3,2,Twelve,1,1500,1,E G K,,
,3,2,Twelve,1,1500,2,F U,,
,3,2,Twelve,1,1600,1,K L G,,
,3,2,Twelve,1,1600,3,O E C,,
,3,2,Twelve,1,1600,12,J S,,
,3,2,Twelve,1,1700,1,D V,,
,3,2,Twelve,1,1700,3,E O K,,
,3,2,Twelve,1,1700,9,B F,,
,3,2,Twelve,1,1700,10,T N,,
,3,2,Twelve,2,900,2,W K H,,
,3,2,Twelve,2,900,3,E I J F X M V,,
,3,2,Twelve,2,900,4,S U D G,,
,3,2,Twelve,2,900,5,N L Q,,
,3,2,Twelve,2,900,8,C P ,,
,3,2,Twelve,2,900,10,R O,,
,3,2,Twelve,2,1000,2,K W,,
,3,2,Twelve,2,1000,3,F M X E I V J,,
,3,2,Twelve,2,1000,4,S U D G,,
,3,2,Twelve,2,1000,5,L N Q,,
,3,2,Twelve,2,1000,8,C P,,
,3,2,Twelve,2,1000,10,R O,,
,3,2,Twelve,2,1100,2,W K,,
,3,2,Twelve,2,1100,3,F M V E J X,,
,3,2,Twelve,2,1100,4,S U D G,,
,3,2,Twelve,2,1100,5,N L,,
,3,2,Twelve,2,1100,8,C P,,
,3,2,Twelve,2,1200,2,K W,,
,3,2,Twelve,2,1200,3,M J,,
,3,2,Twelve,2,1200,3,E V,,
,3,2,Twelve,2,1200,4,G S U D,,
,3,2,Twelve,2,1200,5,L N,,
,3,2,Twelve,2,1200,7,H T,,
,3,2,Twelve,2,1200,10,O R,,
,3,2,Twelve,2,1300,2,K W,,
,3,2,Twelve,2,1300,3,E M J V F,,
,3,2,Twelve,2,1300,4,S U G,,
,3,2,Twelve,2,1300,10,O R,,
,3,2,Twelve,2,1400,2,K X,,
,3,2,Twelve,2,1400,3,E J M,,
,3,2,Twelve,2,1400,4,S U G,,
,3,2,Twelve,2,1400,7,X T,,
,3,2,Twelve,2,1400,10,R O,,
,3,2,Twelve,2,1500,2,K W,,
,3,2,Twelve,2,1500,3,E J M,,
,3,2,Twelve,2,1500,4,S U G,,
,3,2,Twelve,2,1500,5,L D,,
,3,2,Twelve,2,1500,10,R O,,
,3,2,Twelve,2,1600,3,E J M,,
,3,2,Twelve,2,1600,4,S U G,,
,3,2,Twelve,2,1600,5,L D,,
,3,2,Twelve,2,1600,6,V F I,,
,3,2,Twelve,2,1600,10,R T,,
,3,2,Twelve,2,1600,12,Q X,,
,3,2,Twelve,2,1700,3,E J M,,
,3,2,Twelve,2,1700,4,S U G W O,,
,3,2,Twelve,2,1700,5,D L,,
,3,2,Twelve,2,1700,6,V F I,,
,3,2,Twelve,2,1700,8,N O,,
,3,2,Twelve,2,1700,10,P R T,,
,3,2,Twelve,3,900,2,K Q,,
,3,2,Twelve,3,900,3,E M J H,,
,3,2,Twelve,3,900,4,S U G O,,
,3,2,Twelve,3,900,5,D L,,
,3,2,Twelve,3,900,6,V I F,,
,3,2,Twelve,3,900,10,P R T,,
,3,2,Twelve,3,1000,3,M E H J,,
,3,2,Twelve,3,1000,4,S U G O,,
,3,2,Twelve,3,1000,5,L D,,
,3,2,Twelve,3,1000,6,V I F,,
,3,2,Twelve,3,1000,10,P T R,,
,3,2,Twelve,3,1100,2,K Q,,
,3,2,Twelve,3,1100,3,J E M,,
,3,2,Twelve,3,1100,4,S U G O,,
,3,2,Twelve,3,1100,5,L D,,
,3,2,Twelve,3,1100,6,F I V,,
,3,2,Twelve,3,1100,10,R T,,
,3,2,Twelve,3,1200,3,V E M,,
,3,2,Twelve,3,1200,4,S U G,,
,3,2,Twelve,3,1200,6,V F I,,
,3,2,Twelve,3,1200,10,T R,,
,3,2,Twelve,3,1300,3,L E J,,
,3,2,Twelve,3,1300,4,S U G,,
,3,2,Twelve,3,1300,10,R T,,
,3,2,Twelve,3,1400,10,N D T V,,
,3,2,Twelve,3,1500,6,L I,,
,3,2,Twelve,3,1500,7,B E F,,
,3,2,Twelve,3,1500,10,D W N,,
,3,2,Twelve,3,1500,12,S X U,,
,3,2,Twelve,3,1600,7,R H E B F S X,,
,3,2,Twelve,3,1600,8,K V,,
,3,2,Twelve,3,1600,10,C D N W L,,
,3,2,Twelve,3,1700,1,F G,,
,3,2,Twelve,3,1700,3,I J W,,
,3,2,Twelve,3,1700,5,M U,,
,3,2,Twelve,3,1700,7,E Q S X B P H,,
,3,2,Twelve,3,1700,8,K V,,
,3,2,Twelve,3,1700,10,N D L C,,
,3,2,Twelve,4,900,1,B F G,,
,3,2,Twelve,4,900,2,M S U,,
,3,2,Twelve,4,900,3,H I J,,
,3,2,Twelve,4,900,5,O D,,
,3,2,Twelve,4,900,8,W Q,,
,3,2,Twelve,4,900,9,P V,,
,3,2,Twelve,4,900,10,K R C N L,,
,3,2,Twelve,4,1000,1,G F B,,
,3,2,Twelve,4,1000,2,S M U,,
,3,2,Twelve,4,1000,3,H I J,,
,3,2,Twelve,4,1000,5,O D,,
,3,2,Twelve,4,1000,8,W Q,,
,3,2,Twelve,4,1000,9,P V,,
,3,2,Twelve,4,1000,10,K R L C N,,
,3,2,Twelve,4,1100,1,F B G,,
,3,2,Twelve,4,1100,2,S M U,,
,3,2,Twelve,4,1100,3,H I J,,
,3,2,Twelve,4,1100,5,O D,,
,3,2,Twelve,4,1100,9,P V,,
,3,2,Twelve,4,1100,10,K R L C N,,
,3,2,Twelve,4,1200,1,B G F,,
,3,2,Twelve,4,1200,2,M S U,,
,3,2,Twelve,4,1200,3,H I J,,
,3,2,Twelve,4,1200,5,O D,,
,3,2,Twelve,4,1200,10,R C L K N,,
,3,2,Twelve,4,1300,1,B F G,,
,3,2,Twelve,4,1300,2,M S U,,
,3,2,Twelve,4,1300,3,H I J,,
,3,2,Twelve,4,1300,5,O D,,
,3,2,Twelve,4,1300,10,K L C N R,,
,3,2,Twelve,4,1400,1,B G F,,
,3,2,Twelve,4,1400,2,M S U,,
,3,2,Twelve,4,1400,3,H J,,
,3,2,Twelve,4,1400,5,O D,,
,3,2,Twelve,4,1400,9,V W,,
,3,2,Twelve,4,1400,10,N R K L C,,
,3,2,Twelve,4,1500,1,B G F,,
